,id,text,category
106,1539008120982319110,ICYMI: Climate Change Takes a Swipe at One of the World’s Most Popular Condiments: #Sriracha https://t.co/o2koRfL1v8 #climatechange #huyfongfoodsinc #environment,environment
107,1539001244886392833,"🔝♻️‼️✅ Enjoy, Care, Recycle... 🇺🇸

#OnlyRecycling #Recycling #RRR #Environment #Eco #Ecology #Ecofriendly #SaveThePlanet #GoGreen #Sustainability #Sostenibility #SocialMedia #Miami #Florida #USA #World en Miami, Florida https://t.co/XscZKnFTAl",environment
108,1538997164168183808,"Did you know:  accumulating evidence suggests that the changing climate affects pregnancy health?  
https://t.co/rDknvH59TX
#health #environment #climatechange #environmental #prenatalcare #pregnancy #womenshealth #thejourney #maternalhealth",environment
109,1538993691708170240,"My Zero Requiem is for the Earth to be destroyed for the new Earth to be resurrected from zero!

#zerorequiem #codegeass #lelouch #clamp #x1999 #dragonofearth #mothernature #environment #nature #zero #environmentaljustice #environmentalfreedom #greenanarchy",environment
110,1538993350715625472,"Kansas City Walkathon for Save Soil 
#kansascity #childrens_activities #savesoil #soilconservation #3kwalkathon #save_soil_walkathon #environment #climatechange",environment
111,1538990071583371264,"The federal government is banning companies from importing or making plastic bags and takeout containers by the end of this year, from selling them by the end of next year and from exporting them by the end of 2025. #environment #recycle https://t.co/vhXkCguNhd",environment
112,1538981549466451968,"How SA’s Invigilator app addresses digital divide for online learning #Sustainability #World #Eco #Environment [Video]: Lester Kiewer talks to the co-founder of the Invigilator app, Nicholas Reimer, about the smartphone application. https://t.co/IyMgZhMDPN",environment
113,1538976067985080320,https://t.co/t7atSFSuoM Sharing Views.9 #StandForPlanet #ClimateAction #ClimateCrisis #ClimateEmergency #ClimateStrike #ClimateStrikeOnline #ClimateReport #ClimateChange #GlobalWarming #SaveThePlanet #Sustainable #Environment #EcoFriendly,environment
114,1538971489315213313,"Northernmost glaciers are melting at record speed

#ClimateCrisis 
#ClimateChange 
#environment https://t.co/puMSxlBGuc",environment
115,1538969444579434496,🐾🪲🐞 Wise nature #beetle #nature #tech #ClimateActionNow #environment #water https://t.co/GuQJUyx7oV,environment
116,1538966598635376640,Safe to say #Russia single-handedly damaged all these years of effort to reduce #carbonemissions . This must be the biggest #drawback in recent times. RIP #environment  #GlobalWarming https://t.co/SgZWmzujrD,environment
117,1538961099457908737,"Europe may shift back to coal as Russia turns down gas flows
So much for the #environment, back to same ole, same ole.🙄 #ClimateChange #FossilFuels  https://t.co/kcbGp60fv9",environment
118,1538957102110097408,"#funwritings #ChildrensBooks #childrensbook #ecokidsproject  #gogreen #environmental #ClimateCrisis #ClimateAction #ClimateActionNow #ClimateStrike 
When #children know what to do to keep the #environment beautiful we can face the #future with a smile
https://t.co/D0x6EQRWYa",environment
119,1538947804487352322,"EV Charging Stations in 97250 (Portland, OR) https://t.co/OiOLLQaNTE #Oregon #ElectricCar #gogreen #Environment",environment
120,1538946033773907969,Be inspired! https://t.co/0XJtLNxQex #sustainability #environment #nature,environment
121,1538945795717619712,"NewswireToday / BASF to Build Commercial Scale Battery Recycling Black Mass Plant in Schwarzheide, Germany #BASF #BASF_Catalysts #Battery #Recycling #EV #CAM #EHS #Feedstock #Hydrometallurgical #Refinery #BlackMass #Catalysts #Environment #Recycle - https://t.co/Zw12z57X8a",environment
122,1538945211665199109,How the Housing and Climate Crises Are Connected https://t.co/MClD9eKGg1 #biofriendlyplanet #climatechange #housingcrisis #environment,environment
123,1538943732837453825,"Canadian institute report details Northern vulnerability to climate change
#Yukon #Canada #Environment #ClimateChange 
https://t.co/cRf54veMjN",environment
124,1538941570220797952,Scottish highland cattle are among nature's most wondrous creations: https://t.co/Xyvnry5E0X #nature #ruralcanada #environment,environment
125,1538937271818256386,"Back-to-back sweltering heat waves in June: Is this the new normal? 

#environment #ecosystem #ClimateChange #ClimateAction 
 
https://t.co/NamlDWwyOX",environment
126,1538934364242776071,https://t.co/458PeKtgVy Sharing Views.9 #StandForPlanet #ClimateAction #ClimateCrisis #ClimateEmergency #ClimateStrike #ClimateStrikeOnline #ClimateReport #ClimateChange #GlobalWarming #SaveThePlanet #Sustainable #Environment #EcoFriendly,environment
127,1538925783024287744,"Some of the existing pipes and filtering tanks were reused and aesthetically made some benches and sculptures 

📷: KTO Website [ https://t.co/lyMaYbffCn ] 

#GandaKorea #GKSupporters #visitkorea #travel #park #ecological #environment #recycle #aethetic #arts #ktomanila",environment
128,1538925558163292160,"Where do I even start? ... have to mean making serious changes to how we manage our land. Much less 🐄🐏🐑🦌, more 🐦🦇🐝🦋🐞🐌🪲🐛🕷️, etc., etc. Oh, and also more native 🌳🌲 and cleaner waterbodies for 🐟. #rewilding #biodiversity #ecosystem #ecology #nature #environment https://t.co/uSbP6CdTe4",environment
129,1538925246660624385,Clouds over Marin. #environment #nature #Earth #sky #clouds #weather #California #CA #CAwx #Cal #Marin #MarinCounty #cloudscape https://t.co/L3HhquhYiy,environment
130,1538922681596530688,"After preaching to third world countries like #India, #Germany ready to start coal plants??? #environment  #GlobalWarming 
https://t.co/8lS3oi3wpu",environment
131,1538920206650720257,Do you offer a sustainable service? Please contact TheOrganicView https://t.co/PYhsbnO5Yc #environment #energy #sustainability,environment
